Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622195190345
Timestamp end: 1622196990780

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      439.5   634.4    68.9   120.2   141.8   345.7   438.0   494.5   540.5   601.5   691.1   968.5  2118.1  7607.7 30273.2  47373.9    47456
read      484.4   627.3    68.9   146.5   186.4   412.9   504.6   564.8   612.1   670.3   755.6   925.3  1682.4  7694.5 29739.5  93881.4    93939
read      402.3   768.7    74.4   120.8   140.5   328.8   416.3   464.5   498.5   539.1   602.5   784.2  1384.9  8899.1 32274.8  16898.8    16890
read      444.1   670.4    74.4   121.1   142.8   349.9   442.6   499.0   546.5   609.6   697.5   980.7  2090.7  7500.3 31134.3  45614.8    45689
read      426.8   732.5    74.4   119.0   139.7   345.1   429.1   486.0   532.3   588.7   665.6   890.7  1616.1  9468.9 31599.9  32787.1    32790
read      430.9   587.2    68.9   119.3   140.6   345.9   436.5   492.4   538.4   599.2   684.6   971.1  1987.7  5798.2 30572.7  44071.0    44044
read      414.9   662.7    74.4   118.7   138.6   335.3   422.1   479.6   525.3   578.0   649.7   889.9  1586.6  7863.8 31282.2  28168.3    28149
read      444.5   687.2    74.4   120.7   142.4   352.1   442.8   500.0   546.7   609.8   697.9  1010.1  1966.3  7560.2 31218.5  39724.9    39739
read      446.3   689.6    68.9   126.1   151.1   354.4   442.3   498.4   544.2   604.8   692.2   868.5  2511.0  8054.6 30873.6  72552.0    72475
read      450.5   644.7    74.4   140.0   174.1   381.7   463.3   512.7   554.4   612.8   698.9   850.5  1736.9  8689.5 30762.0  93923.2    93882
read      388.7  1063.3    80.4   140.7   170.1   299.0   345.7   373.2   394.1   421.2   462.4   540.3  2256.1 17947.2 36336.4   6693.2     6692
read      439.3   687.1    74.4   120.6   142.2   348.0   441.2   496.8   541.4   599.4   683.8   904.0  2125.2  8102.5 31114.3  50260.3    50406
read      446.6   700.1    68.9   131.1   159.9   364.7   448.5   500.7   543.7   602.2   689.2   841.9  2365.0  8581.1 31421.3  82972.9    83055
read      436.5   637.1    68.9   121.2   143.6   344.3   436.3   491.9   537.7   597.9   682.6   911.0  2192.5  6970.0 30810.3  55551.0    55609
